price,title,location,bhk,bathroom,area
29000,Ground Floor 2AC Fully Furnished 2BHK Full independent Brokerage 50%,"Sector 63, Mohali",2,2,2400
27000,OWNER Free 2BHK 2Washroom 2ACFully Furnished Family & Girls Broker50%,"Sector 63, Mohali",2,2,2110
16000,Owner Free AC Fully Furnished Full independent Two Room Brokerage50%,"Sector 61, Mohali",2,1,1550
38000,"3BHK + Servant in Savitry Tower, Sector - 91 Mohali","Sector 91, Mohali",3,3,2030
25000,Owner free 1bhk furnished house floor available for rent sector 77,"Sector 77, Mohali",1,1,950
9000,Owner Free Fully Furnished One Room Set Brokerage 50%,"Sector 80, Mohali",1,1,850
16101,AC Fully Furnished Two Room Set Only Family Brokerage 50%,"Sector 63, Mohali",2,1,1450
12000,Full independent AC Fully Furnished One Room Brokerage 50%,"Sector 63, Mohali",1,1,950
14500,Owner Free Fully Furnished Two Room Brokerage50%,"Sector 71, Mohali",2,1,1400
14000,Full independent Fully Furnished Two Room Set Brokerage 50%,"Sector 71, Mohali",2,1,1400
16000,Owner Free AC Fully Furnished Two Room Set Brokerage 50%,"Sector 61, Mohali",2,1,1450
30000,2AC Fully Furnished Ground Floor 2BHK 2Washroom Brokerage50%,"Sector 63, Mohali",2,2,2150
60000,3bhk Bestech Fully Furnished For Rent,"Sector 66, Mohali",3,3,1854
15999,Flatmate required for rent in 2bhk flat,"Sector 63, Mohali",1,1,1500
26000,Helping hands group mohali properties,"Sector 78, Mohali",2,2,1600
11000,Chajumajra colony,"Chhaju Majra, Kharar",2,2,1062
35000,3bhk fully furnished near airport road flat available for rent,"Sector 89, Mohali",3,3,2200
12000,1room owner free available for rent,"Sector 79, Mohali",1,1,800
12500,Owner free room available for rent,"Sector 79, Mohali",1,1,1200
27000,Owner Free 2AC Well Furnished 2BHK 2Washroom Brokerage 50%,"Sector 63, Mohali",2,2,2250
37000,3bhk independent house available for rent,"Sector 80, Mohali",3,3,2500
25000,2bhk fully furnished flat available for rent,"Sector 80, Mohali",2,2,1650
37000,3bhk Purab premium apartment available for rent,"Sector 88, Mohali",3,2,3300
